sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,combatEfficiency,damagePerSecond,damageIntakeRate,survivalRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,efficiencyPerAccuracy
16c0795e-7858-4bf2-bd84-3e990d8e99ce,11,Fighting,Medium,41.62,3214,0,True,17/1/2026 18:30,True,4.0,14.0,13.0,2.0,0.9285714,0.3732218,4.333333333333333,0.31234983181162906,0.04805382027871216,1,5.766458433445459,20.182604517059104,2.6722120410943457,0.535171838109308,4.212963079989715
d94d35ac-8c14-4010-b499-8f31723a14e6,11,Fighting,Hard,36.68,1700,1,True,17/1/2026 18:32,False,3.0,9.0,11.0,8.0,1.0,0.2018416,1.2222222222222223,0.2998909487459106,0.21810250817884405,0,4.907306434023991,14.721919302071974,4.929955196567174,0.44641808573106284,1.1111111111111112
c162aa82-9e1f-4b4f-97f2-48c9183029cd,10,Fighting,Easy,21.12,2405,0,True,20/1/2026 20:41,True,7.0,3.0,10.0,1.0,0.9090909,1.030785,5.0,0.47348484848484845,0.04734848484848485,1,19.886363636363637,8.522727272727272,0.9691941635127473,0.5533904725382026,4.954954999594189
d238f941-dec7-498d-bcf6-0121e9a93f3f,10,Fighting,Medium,48.15,2961,0,True,20/1/2026 20:42,True,1.0,14.0,13.0,4.0,0.7222222,0.3215539,2.6,0.2699896157840083,0.08307372793354102,1,1.2461059190031154,17.445482866043612,3.100257042311378,0.3907900812885303,3.1621622476260067
687f6544-c31c-4d53-ae17-5b25a1d4da13,10,Fighting,Hard,69.38,2922,1,True,20/1/2026 20:43,False,5.0,22.0,17.0,8.0,0.9444444,0.1908614,1.8888888888888888,0.2450273854136639,0.11530700490054771,0,4.324012683770539,19.025655808590372,5.2120958149997865,0.46822933427047375,1.8085107152557751
6038a4d4-64a3-40ce-aa7a-d4bf752991ea,12,Fighting,Easy,27.22,2255,0,True,26/1/2026 1:41,True,4.0,3.0,10.0,2.0,0.9090909,1.006588,3.3333333333333335,0.36737692872887584,0.07347538574577517,1,8.817046289493021,6.612784717119765,0.992469144134309,0.44031960092811345,3.3033033330627926
eafdf9d5-5a99-44ec-a343-5c34ae6dfe2c,12,Fighting,Medium,48.58,3533,0,True,26/1/2026 1:42,True,5.0,17.0,13.0,5.0,0.8666667,0.381796,2.1666666666666665,0.26759983532317827,0.1029230135858378,1,6.175380815150268,20.99629477151091,2.6123574958985984,0.4739164329942328,2.2413792330558886
46f58325-bb56-4800-9931-b481fe0c3c4c,12,Fighting,Hard,55.71,4000,0,True,26/1/2026 1:43,True,13.0,17.0,20.0,3.0,1.0,0.1742284,5.0,0.3590019745108598,0.05385029617662897,1,14.001077005923532,18.30910070005385,5.706837476116885,0.6072742391536144,4.545454545454545
3f4e92cb-9c43-4674-bbfc-093e7d1a02ed,12,Fighting,Easy,25.75,2650,0,True,26/1/2026 1:53,True,7.0,5.0,10.0,2.0,1.0,0.805587,3.3333333333333335,0.3883495145631068,0.07766990291262135,1,16.310679611650485,11.650485436893204,1.239791863741915,0.5410780848062402,3.0303030303030303
cb19dadd-d45d-4376-80dd-6f12d8643d28,13,Fighting,Medium,48.84,2882,0,True,26/1/2026 1:54,True,5.0,11.0,13.0,7.0,0.7647059,0.3775721,1.625,0.26617526617526616,0.14332514332514332,1,6.142506142506142,13.513513513513512,2.641504749029313,0.3847278378160678,1.8792516623281974
