sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,feedback,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
4aa3681e-6386-43a0-b9a8-4980ff41cad6,27,Racing,Medium,114.45,1100,0,True,27/1/2026 16:15,3.0,37.65998,38.15155,114.4546,0.0,40.0,39.59985,0.9856617,TooEasy,0.9899962500000001,0.0,0.49157000000000295,1,10.0,0.9845347443436931,0.9758013867686252,0.992697385,1.0
87108985-1eff-4096-9815-cf370cdcd501,28,Racing,Medium,116.97,850,0,True,28/1/2026 15:19,3.0,38.23999,38.99121,116.9736,5.0,40.0,39.24122,0.9792594,TooEasy,0.9810304999999999,1.25,0.7512200000000036,1,0.7407407407407407,0.9782247722697761,0.9606833388116999,0.9724619699999999,0.921875
7de32515-bde6-42d4-9934-d7c2560315cd,29,Racing,Medium,118.3,600,0,True,28/1/2026 15:36,3.0,38.37994,39.43178,118.2953,10.0,40.0,38.70284,0.9809093,Balanced,0.9675710000000001,2.5,1.0518400000000057,1,0.3846153846153846,0.9708629360985008,0.9490993923103,0.95329409,0.84375
9393ef64-c9dd-4b51-b23e-f2ee6dd8608b,30,Racing,Medium,118.82,550,0,True,1/2/2026 19:52,3.0,38.87994,39.60545,118.8163,11.0,40.0,38.53866,0.9870089,Balanced,0.9634665,2.75,0.7255099999999999,1,0.3508771929824561,0.9792091513885373,0.95095001035185,0.9507676199999999,0.828125
27b82347-d7ac-4c8a-bef8-be09ce437c66,31,Racing,Medium,117.78,900,0,True,5/2/2026 11:43,3.0,38.59999,39.25943,117.7783,4.0,40.0,39.21382,0.980076,TooEasy,0.9803455,1.0,0.6594400000000036,1,0.9090909090909091,0.980705005128377,0.9608130962579999,0.97562645,0.9375
0daf3bd2-c7ea-4486-aa41-a610ac7ed451,32,Racing,Medium,119.82,850,0,True,5/2/2026 11:50,3.0,39.57998,39.93835,119.815,5.0,40.0,38.61499,0.988614,TooEasy,0.96537475,1.25,0.35837000000000074,1,0.7407407407407407,0.9885517260326662,0.9543829930965,0.9705716249999998,0.921875
989f75b6-8a50-40c1-a7c4-e4ee9678caba,33,Racing,Medium,117.72,750,0,True,5/2/2026 11:52,3.0,38.67999,39.23888,117.7166,7.0,40.0,39.08828,0.9894034,Balanced,0.9772069999999999,1.75,0.5588900000000052,1,0.5405405405405405,0.9832509212260235,0.9668519283038,0.9681081199999999,0.890625
336f29b0-5480-4c8f-9739-409d90d069d1,34,Racing,Medium,122.46,550,0,True,5/2/2026 11:54,3.0,40.57904,40.81967,122.459,11.0,40.0,37.42291,0.995535,Balanced,0.9355727500000001,2.75,0.240630000000003,1,0.3508771929824561,0.9916756415679793,0.93139541767125,0.9449573250000001,0.828125
ce17d0b7-3474-4c40-928c-693026b5fa6b,35,Racing,Medium,118.68,400,0,True,5/2/2026 11:57,3.0,38.60001,39.55939,118.6782,14.0,40.0,38.6273,0.971891,TooHard,0.9656825,3.5,0.959380000000003,1,0.2777777777777778,0.9732880409910489,0.9385381306074999,0.9375220499999999,0.78125
2c45bd7e-fbc0-4fcb-b54a-988fa8dcc822,36,Racing,Medium,123.96,700,0,True,5/2/2026 12:01,3.0,38.97998,41.31899,123.957,8.0,40.0,37.35501,0.9356232,Balanced,0.93387525,2.0,2.339010000000002,1,0.47619047619047616,0.941113725853769,0.8737553498058,0.935849535,0.875
4a1e1e24-e540-4c60-9c96-18f2c5a20621,37,Racing,Medium,118.72,950,0,True,5/2/2026 14:49,3.0,39.19999,39.57211,118.7163,3.0,40.0,38.67485,0.992402,TooEasy,0.96687125,0.75,0.37212000000000245,1,1.1764705882352942,0.9880994482017719,0.9595249622425,0.978406975,0.953125
6aa32a17-fb54-4c9c-9334-21f8034807ef,38,Racing,Medium,120.8,900,0,True,5/2/2026 14:52,3.0,39.45998,40.26552,120.7966,4.0,40.0,37.91861,0.9730418,TooEasy,0.94796525,1.0,0.8055400000000006,1,0.9090909090909091,0.9775664973472409,0.92240981319745,0.963802115,0.9375
58536095-7c20-40ec-ae17-7ffd91c42bbe,39,Racing,Medium,116.84,1050,0,True,5/2/2026 15:51,3.0,38.33998,38.94545,116.8363,1.0,40.0,39.49683,0.9801529,TooEasy,0.9874207500000001,0.25,0.605470000000004,1,2.857142857142857,0.9819320817150269,0.9678233116326751,0.9871470950000001,0.984375
7baf2b3d-e1e3-44d8-8959-286206341ab6,40,Racing,Medium,117.26,850,0,True,5/2/2026 15:56,3.0,38.47998,39.08609,117.2583,5.0,40.0,39.38336,0.9852937,Balanced,0.9845840000000001,1.25,0.606110000000001,1,0.7407407407407407,0.9819805956654516,0.9701044123208001,0.9753383099999999,0.921875
b5293070-e543-48a1-b6dc-7c0ba58d43e3,41,Racing,Medium,117.19,700,0,True,5/2/2026 16:30,3.0,38.56,39.06496,117.1949,8.0,40.0,39.4977,0.9861566,Balanced,0.9874425,2.0,0.504959999999997,1,0.47619047619047616,0.9845535396946659,0.9737729384955001,0.96707973,0.875
8e5cebc3-2594-4072-b9ef-1619a08ed499,42,Racing,Medium,48.69,0,1,False,5/2/2026 16:37,1.0,39.65436,39.65436,48.69348,5.0,40.0,38.01509,1.0,Balanced,0.9503772500000001,2.5,0.0,0,0.3846153846153846,0.9974845526377484,0.9503772500000001,0.753863175,0.0
1556d175-663e-4039-b2f9-0eece1b74088,43,Racing,Medium,53.59,0,1,False,5/2/2026 16:38,1.0,39.73927,39.73927,53.59087,15.0,40.0,37.28636,1.0,TooHard,0.9321590000000001,7.5,0.0,0,0.13157894736842105,0.9974899138463129,0.9321590000000001,0.6858976999999999,0.0
