sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
ba8bb6ae-a63d-431a-b273-99ddaae3c199,12,Racing,Easy,153.15,1050,0,True,26/1/2026 1:46,3.0,50.84,51.05093,153.1528,1.0,30.0,29.80896,0.9954703,0.9615793548387096,0.25,0.21092999999999762,1.1753183153770812,2.857142857142857,0.995848736766661,0.9572236888350967,0.7492652120866188,2.8442008571428574
d5646e0f-ec8a-4dc2-bc1e-034844000f6b,12,Racing,Medium,119.08,450,0,True,26/1/2026 1:49,3.0,38.31998,39.69283,119.0785,13.0,40.0,38.68228,0.9599915,0.9434702439024389,3.25,1.3728499999999997,1.5115888478333892,0.29850746268656714,0.9653888274323743,0.9057234146492682,0.742735820365384,0.28656462686567163
4f401d19-ce0d-46cc-b9f1-078131ed46b5,12,Racing,Hard,81.76,0,1,False,26/1/2026 1:50,2.0,35.57996,35.72627,81.76382,31.0,45.0,39.64204,0.9959045,0.8617834782608697,10.333333333333334,0.14630999999999972,1.467710371819961,0.09584664536741214,0.9958768190236759,0.8582540440256522,0.7196657376486909,0.0954541054313099
22ca7499-021a-45bd-a681-d1966f371a7e,13,Racing,Easy,152.7,1000,0,True,26/1/2026 1:57,3.0,50.35999,50.89853,152.6956,2.0,30.0,29.82276,0.9913725,0.9620245161290322,0.5,0.5385399999999976,1.1787819253438117,1.6666666666666667,0.9893999021209038,0.9537246496161289,0.7251403476799333,1.6522875000000001
9141917d-26ec-4e96-a20a-bcad35d04288,13,Racing,Medium,117.46,650,0,True,26/1/2026 2:00,3.0,38.65997,39.15325,117.4597,9.0,40.0,39.31773,0.9856433,0.9589690243902438,2.25,0.4932799999999986,1.5324365741529031,0.425531914893617,0.9873760830561179,0.9452013937977803,0.7591622720942244,0.4194226808510638
457fd6a1-f8cb-4309-979f-3055674ef60f,13,Racing,Hard,107.28,0,0,True,26/1/2026 2:02,3.0,34.34003,35.75841,107.2752,30.0,45.0,42.87595,0.9628384,0.9320858695652174,7.5,1.418379999999999,1.6778523489932886,0.13157894736842105,0.9603075106664233,0.8974480673147827,0.7659599617749143,0.12668926315789472
d8d2ccd9-93b8-4987-a58b-9e927796bc2b,14,Racing,Easy,153.97,1000,0,True,26/1/2026 2:52,3.0,50.77998,51.32462,153.9739,2.0,30.0,29.79568,0.9916027,0.9611509677419355,0.5,0.5446400000000011,1.1690589075793987,1.6666666666666667,0.9893690519471562,0.9530798947205161,0.7233013177170214,1.6526711666666667
06190b29-4aeb-406a-8ec7-981bbd1f73e8,14,Racing,Medium,117.06,900,0,True,26/1/2026 2:54,3.0,38.31998,39.01901,117.057,4.0,40.0,39.31282,0.9864596,0.958849268292683,1.0,0.6990300000000005,1.5376729882111737,0.9090909090909091,0.9820597175654235,0.9458660656602927,0.7699113930202375,0.8967814545454545
1fad2bc3-392a-44b4-b2f2-f7ead156d7e2,14,Racing,Hard,107.0,0,0,True,26/1/2026 2:56,3.0,34.57999,35.66573,106.9972,23.0,45.0,42.74683,0.9645813,0.9292789130434783,5.75,1.0857400000000013,1.6822429906542056,0.17094017094017094,0.9695307083099572,0.8963650620060652,0.7672389968665888,0.16488569230769232
f533afa8-9733-451c-9298-389f7a383e08,15,Racing,Easy,154.09,1100,0,True,26/1/2026 3:02,3.0,51.08002,51.36475,154.0942,0.0,30.0,29.78556,0.9934875,0.9608245161290323,0.0,0.28473000000000326,1.1681484846518269,10.0,0.9944373439500056,0.954567146467742,0.8902004324831634,9.934875
