sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,feedback,combatEfficiency,damagePerSecond,damageIntakeRate,survivalRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,efficiencyPerAccuracy
f5062a3d-0556-4b92-ab76-0a265e68ae35,47,Fighting,Medium,33.32,1732,0,TRUE,4/2/2026 15:37,TRUE,4,0,13,8,0.7647059,0,Balanced,1.444444444,0.390156062,0.240096038,1,7.202881152,0,1000,0.314976905,1.670445922
1bb6508e-655f-49c2-b91f-1a719ace5cf7,48,Fighting,Medium,33.33,1911,0,TRUE,4/2/2026 15:37,TRUE,2,3,13,7,0.7222222,0.713501,Balanced,1.625,0.390039004,0.210021002,1,3.600360036,5.400540054,1.399578167,0.313411885,1.976351405
edf7984b-d4d1-4418-b7f6-9dbf4e9829ec,49,Fighting,Medium,26.28,809,1,TRUE,4/2/2026 15:38,FALSE,2,0,9,10,0.8181818,0,TooHard,0.818181818,0.342465753,0.380517504,0,4.566210046,0,1000,0.2974476,0.891089127
cce8447b-5453-4bc5-b078-8d75d798db0a,50,Fighting,Medium,27.98,1932,0,TRUE,4/2/2026 15:39,TRUE,3,1,13,8,0.7647059,0.831665,Balanced,1.444444444,0.464617584,0.285918513,1,6.433166548,2.144388849,1.200963172,0.322553058,1.670445922
a73f3e89-7164-413d-aa5f-f361920a5fe3,51,Fighting,Medium,36.92,2914,0,TRUE,6/2/2026 18:44,TRUE,8,9,13,2,0.9285714,0.2920524,TooEasy,4.333333333,0.352112676,0.054171181,1,13.00108342,14.62621885,3.412359018,0.562593952,4.21296308
58af9d6b-f4c1-4bbd-b038-1325dc94fd59,52,Fighting,Medium,37.43,2800,0,TRUE,6/2/2026 18:45,TRUE,9,7,13,1,1,0.2639988,TooEasy,6.5,0.347314988,0.026716538,1,14.42693027,11.22094577,3.773601994,0.623467676,5.909090909
957d9059-7570-4060-a161-27bdc0342d6c,53,Fighting,Medium,34.55,2614,0,TRUE,6/2/2026 18:46,TRUE,8,6,13,1,0.9285714,0.3618215,TooEasy,6.5,0.376266281,0.02894356,1,13.89290883,10.41968162,2.756176246,0.593250157,6.31944462
fb1aa329-81db-4d45-8fe3-38753f4a1812,54,Fighting,Medium,37.65,2506,0,TRUE,6/2/2026 18:46,TRUE,7,6,13,1,0.8125,0.2750397,TooEasy,6.5,0.345285525,0.026560425,1,11.15537849,9.561752988,3.622667319,0.533313332,7.123287671
e29aca03-02a1-4ea8-82cf-63ba6fd2741e,55,Fighting,Medium,35.53,2206,0,TRUE,6/2/2026 18:47,TRUE,7,3,13,1,0.8125,0.217097,TooEasy,6.5,0.365887982,0.028145229,1,11.82099634,5.066141289,4.585115797,0.510555457,7.123287671
619198d9-d55e-4c27-9457-f9ca8aa42770,56,Fighting,Medium,42.37,2756,0,TRUE,6/2/2026 18:49,TRUE,8,8,13,1,0.8125,0.2767525,TooEasy,6.5,0.306820864,0.023601605,1,11.32877036,11.32877036,3.60032763,0.545412923,7.123287671
bda87894-b80c-4bbb-bf04-6440962e6c1e,57,Fighting,Medium,39.18,2264,0,TRUE,6/2/2026 18:50,TRUE,5,4,13,2,0.9285714,0.3144836,TooEasy,4.333333333,0.33180194,0.051046452,1,7.656967841,6.125574273,3.169736874,0.471681934,4.21296308
924e40e8-3c44-42ad-939d-e384d068171e,58,Fighting,Medium,34.64,2183,0,TRUE,6/2/2026 18:51,TRUE,8,2,13,2,0.8666667,0.5701294,TooEasy,4.333333333,0.375288684,0.057736721,1,13.85681293,3.464203233,1.750916692,0.481738895,4.482758466
3a75c5d8-2c3d-40da-86f2-c9c685a70a8b,59,Fighting,Medium,37.04,2533,0,TRUE,6/2/2026 18:52,TRUE,7,6,13,0,0.8666667,0.7353618,TooEasy,13,0.350971922,0,1,11.33909287,9.719222462,1.358028078,0.701861766,13.4482754
99c09b53-8b33-4154-a2cc-65dfe760177a,60,Fighting,Medium,37.37,2533,0,TRUE,6/2/2026 18:53,TRUE,9,5,13,2,0.8666667,0.2829346,TooEasy,4.333333333,0.347872625,0.053518865,1,14.45009366,8.02782981,3.521937798,0.514043023,4.482758466
